Status,Service,Suburb,Search Intent,URL,Priority,Search Volume,Competition,Matrix class,Page Type,CTA Source,Notes
ACTIVE_METRO_REF,Deep Cleaning,Sea Point,commercial,/locations/sea-point-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_sea_point,P1A Option B: hubs are sole proposed location spine; Stage 19 path redirected
ACTIVE_METRO_REF,Deep Cleaning,Green Point,commercial,/locations/green-point-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_green_point,Stage 19 /deep-cleaning/green-point is NOT canonical
ACTIVE_METRO_REF,Deep Cleaning,Claremont,commercial,/locations/claremont-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_claremont,Stage 19 path redirected to hub
ACTIVE_METRO_REF,Deep Cleaning,Camps Bay,commercial,/locations/camps-bay-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_camps_bay,Stage 19 path redirected to hub
UNRESOLVED,Deep Cleaning,Century City,commercial,,P0,TBD,Medium,unresolved_no_hub,none,,P1A Condition 7: no hub evidence — removed from proposed architecture
ACTIVE_METRO_REF,Move-out Cleaning,Sea Point,commercial,/locations/sea-point-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_sea_point,Intent×area Stage 19 URL not canonical
ACTIVE_METRO_REF,Move-out Cleaning,Green Point,commercial,/locations/green-point-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_green_point,
ACTIVE_METRO_REF,Move-out Cleaning,Claremont,commercial,/locations/claremont-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_claremont,
ACTIVE_METRO_REF,Move-out Cleaning,Camps Bay,commercial,/locations/camps-bay-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_camps_bay,
UNRESOLVED,Move-out Cleaning,Century City,commercial,,P0,TBD,Medium,unresolved_no_hub,none,,P1A Condition 7
RETIRED_410,Airbnb Cleaning,Sea Point,commercial,/services/airbnb-cleaning-sea-point,P0,TBD,Medium,retired_410,none,,P1A Condition 6: removed from active landing matrices; HTTP 410
RETIRED_410,Airbnb Cleaning,Green Point,commercial,/services/airbnb-cleaning-green-point,P0,TBD,Medium,retired_410,none,,P1A Condition 6; HTTP 410
RETIRED_410,Airbnb Cleaning,Claremont,commercial,/services/airbnb-cleaning-claremont,P0,TBD,Medium,retired_410,none,,P1A Condition 6; HTTP 410
UNRESOLVED,Airbnb Cleaning,Century City,commercial,,P0,TBD,Medium,unresolved_no_hub,none,,No hub; Stage 19 /airbnb-cleaning/century-city not proposed canon
ACTIVE_METRO_REF,Airbnb Cleaning,Camps Bay,commercial,/locations/camps-bay-cleaning-services,P0,TBD,Medium,active_via_hub,location-hub,seo_hub_camps_bay,Prefer hub; metro /services/airbnb-cleaning-cape-town for service intent
ACTIVE_METRO_REF,Same-day Cleaning,Sea Point,commercial,/locations/sea-point-cleaning-services,P0,TBD,High,active_via_hub,location-hub,seo_hub_sea_point,Stage 19 same-day paths redirected
ACTIVE_METRO_REF,Same-day Cleaning,Green Point,commercial,/locations/green-point-cleaning-services,P0,TBD,High,active_via_hub,location-hub,seo_hub_green_point,
ACTIVE_METRO_REF,Same-day Cleaning,Claremont,commercial,/locations/claremont-cleaning-services,P0,TBD,High,active_via_hub,location-hub,seo_hub_claremont,
ACTIVE_METRO_REF,Same-day Cleaning,Camps Bay,commercial,/locations/camps-bay-cleaning-services,P0,TBD,High,active_via_hub,location-hub,seo_hub_camps_bay,
UNRESOLVED,Same-day Cleaning,Century City,commercial,,P0,TBD,High,unresolved_no_hub,none,,P1A Condition 7
ACTIVE_METRO_REF,Same-day Cleaning,Cape Town (metro),commercial,/services/standard-cleaning-cape-town,P0,TBD,High,active_via_metro,service-metro,seo_same_day_via_standard,City/metro same-day: use metro service not Stage 19 path; city phrase intent owner is /
DEFERRED_P1,Office Cleaning,Sea Point,commercial,/services/office-cleaning-cape-town,P1,TBD,Medium,deferred_via_metro,service-metro,seo_office_metro,Office×suburb Stage 19 not canonical; product scope open
DEFERRED_P1,Office Cleaning,Green Point,commercial,/services/office-cleaning-cape-town,P1,TBD,Medium,deferred_via_metro,service-metro,seo_office_metro,
DEFERRED_P1,Office Cleaning,Claremont,commercial,/services/office-cleaning-cape-town,P1,TBD,Medium,deferred_via_metro,service-metro,seo_office_metro,
DEFERRED_P1,Office Cleaning,Camps Bay,commercial,/services/office-cleaning-cape-town,P1,TBD,Medium,deferred_via_metro,service-metro,seo_office_metro,
UNRESOLVED,Office Cleaning,Century City,commercial,,P1,TBD,Medium,unresolved_no_hub,none,,P1A Condition 7
